date,museum,daily_visitors
2018-12-06 01:00:00,Bristol Museum,759.0
2018-12-05 01:00:00,M Shed,805.0
2018-12-05 01:00:00,Bristol Museum,892.0
2018-12-04 01:00:00,The Georgian House Museum,35.0
2018-12-04 01:00:00,The Red Lodge Museum,32.0
2018-12-04 01:00:00,M Shed,970.0
2018-12-04 01:00:00,Bristol Museum,735.0
2018-12-03 01:00:00,The Red Lodge Museum,52.0
2018-12-03 01:00:00,The Georgian House Museum,72.0
2018-12-03 00:00:00,Bristol Museum,0.0
2018-12-03 00:00:00,M Shed,0.0
2018-12-02 01:00:00,The Georgian House Museum,75.0
2018-12-02 01:00:00,The Red Lodge Museum,54.0
2018-12-02 01:00:00,M Shed,2318.0
2018-12-02 01:00:00,Bristol Museum,1525.0
2018-12-02 01:00:00,Blaise Castle House Museum,287.0
2018-12-01 01:00:00,The Georgian House Museum,56.0
2018-12-01 01:00:00,Blaise Castle House Museum,129.0
2018-11-05 01:00:00,The Georgian House Museum,66.0
2018-11-04 01:00:00,The Georgian House Museum,96.0
2018-11-05 01:00:00,The Red Lodge Museum,32.0
2018-11-04 01:00:00,The Red Lodge Museum,51.0
2018-11-05 00:00:00,Bristol Museum,0.0
2018-11-04 01:00:00,Bristol Museum,2032.0
2018-11-04 01:00:00,Blaise Castle House Museum,195.0
2018-11-04 00:00:00,M Shed,3116.0
2018-11-03 01:00:00,M Shed,3663.0
2018-11-03 01:00:00,Bristol Museum,3168.0
2018-11-03 01:00:00,The Red Lodge Museum,102.0
2018-11-03 01:00:00,The Georgian House Museum,129.0
2018-11-03 01:00:00,Blaise Castle House Museum,396.0
2018-11-03 01:00:00,ROMAN-VILLA,2.0
2018-11-02 01:00:00,M Shed,2142.0
2018-11-02 01:00:00,Bristol Museum,1419.0
2018-11-02 01:00:00,Blaise Castle House Museum,599.0
2018-11-01 01:00:00,Blaise Castle House Museum,455.0
2018-11-01 01:00:00,M Shed,2195.0
2018-11-01 01:00:00,Bristol Museum,1508.0
2018-10-31 01:00:00,Blaise Castle House Museum,488.0
2018-10-31 01:00:00,M Shed,1889.0
2018-10-31 01:00:00,Bristol Museum,1246.0
2018-10-31 01:00:00,The Red Lodge Museum,130.0
2018-10-31 00:00:00,Bristol Museum,1238.0
2018-10-31 00:00:00,M Shed,1884.0
2018-10-30 01:00:00,The Georgian House Museum,66.0
2018-10-30 01:00:00,The Red Lodge Museum,79.0
2018-10-30 01:00:00,M Shed,1996.0
2018-10-30 01:00:00,Bristol Museum,1816.0
2018-10-30 01:00:00,Blaise Castle House Museum,571.0
2018-10-30 01:00:00,Blaise Castle House Museum,571.0
2018-10-29 01:00:00,The Georgian House Museum,167.0
2018-10-29 01:00:00,The Red Lodge Museum,67.0
2018-10-29 01:00:00,M Shed,2023.0
2018-10-29 01:00:00,Bristol Museum,1301.0
2018-10-28 00:00:00,Blaise Castle House Museum,466.0
2018-10-28 00:00:00,The Georgian House Museum,102.0
2018-10-28 00:00:00,M Shed,3875.0
2018-10-28 00:00:00,Bristol Museum,1635.0
2018-10-28 00:00:00,The Red Lodge Museum,59.0
2018-10-27 00:00:00,The Red Lodge Museum,90.0
2018-10-27 00:00:00,The Georgian House Museum,128.0
2018-10-27 00:00:00,Blaise Castle House Museum,301.0
2018-10-27 00:00:00,Bristol Museum,2070.0
2018-10-27 00:00:00,M Shed,4737.0
2018-10-26 00:00:00,M Shed,2080.0
2018-10-26 00:00:00,Bristol Museum,1400.0
2018-10-26 00:00:00,Blaise Castle House Museum,459.0
2018-10-25 00:00:00,M Shed,1905.0
2018-10-25 00:00:00,Bristol Museum,1221.0
2018-10-25 00:00:00,Blaise Castle House Museum,365.0
2018-10-25 00:00:00,ROMAN-VILLA,9.0
2018-10-24 00:00:00,M Shed,2156.0
2018-10-24 00:00:00,Bristol Museum,1075.0
2018-10-23 00:00:00,The Georgian House Museum,69.0
2018-10-23 00:00:00,The Red Lodge Museum,87.0
2018-10-23 00:00:00,M Shed,1853.0
2018-10-23 00:00:00,Bristol Museum,1224.0
2018-10-22 00:00:00,The Georgian House Museum,126.0
2018-10-22 00:00:00,The Red Lodge Museum,148.0
2018-10-22 00:00:00,Bristol Museum,0.0
2018-10-22 00:00:00,M Shed,0.0
2018-10-21 00:00:00,The Georgian House Museum,63.0
2018-10-21 00:00:00,The Red Lodge Museum,74.0
2018-10-21 00:00:00,Blaise Castle House Museum,505.0
2018-10-21 00:00:00,M Shed,4131.0
2018-10-21 00:00:00,Bristol Museum,1937.0
2018-10-20 00:00:00,The Georgian House Museum,115.0
2018-10-20 00:00:00,The Red Lodge Museum,86.0
2018-10-20 00:00:00,Blaise Castle House Museum,393.0
2018-10-20 00:00:00,M Shed,4116.0
2018-10-20 00:00:00,Bristol Museum,1781.0
2018-10-19 00:00:00,Blaise Castle House Museum,213.0
2018-10-19 00:00:00,M Shed,1160.0
2018-10-19 00:00:00,Bristol Museum,753.0
2018-10-18 00:00:00,Blaise Castle House Museum,177.0
2018-10-18 00:00:00,M Shed,1140.0
2018-10-18 00:00:00,Bristol Museum,889.0
2018-10-17 00:00:00,M Shed,1228.0
2018-10-17 00:00:00,Bristol Museum,972.0
2018-10-16 00:00:00,The Georgian House Museum,87.0
2018-10-16 00:00:00,The Red Lodge Museum,107.0
2018-10-16 00:00:00,M Shed,1023.0
2018-10-16 00:00:00,Bristol Museum,898.0
2018-10-15 00:00:00,The Georgian House Museum,99.0
2018-10-15 00:00:00,The Red Lodge Museum,70.0
2018-10-15 00:00:00,Bristol Museum,0.0
2018-10-15 00:00:00,M Shed,0.0
2018-10-14 00:00:00,The Georgian House Museum,92.0
2018-10-14 00:00:00,M Shed,2392.0
2018-10-14 00:00:00,Bristol Museum,2645.0
2018-10-14 00:00:00,The Red Lodge Museum,72.0
2018-10-14 00:00:00,Blaise Castle House Museum,128.0
2018-10-13 00:00:00,Blaise Castle House Museum,151.0
2018-10-13 00:00:00,ROMAN-VILLA,2.0
2018-10-13 00:00:00,The Georgian House Museum,130.0
2018-10-13 00:00:00,The Red Lodge Museum,96.0
2018-10-13 00:00:00,M Shed,2923.0
2018-10-13 00:00:00,Bristol Museum,2177.0
2018-10-12 00:00:00,Blaise Castle House Museum,79.0
2018-10-12 00:00:00,M Shed,1245.0
2018-08-21 01:00:00,M Shed,4114.0
2018-08-21 01:00:00,Bristol Museum,2063.0
2018-08-20 01:00:00,The Red Lodge Museum,99.0
2018-08-20 01:00:00,The Georgian House Museum,95.0
2018-08-20 01:00:00,M Shed,3421.0
2018-08-20 01:00:00,Bristol Museum,1870.0
2018-08-19 01:00:00,The Georgian House Museum,121.0
2018-08-19 01:00:00,The Red Lodge Museum,89.0
2018-08-19 01:00:00,M Shed,6179.0
2018-08-19 01:00:00,Bristol Museum,2596.0
2018-08-19 01:00:00,Blaise Castle House Museum,548.0
2018-08-18 01:00:00,The Georgian House Museum,155.0
2018-08-18 01:00:00,The Red Lodge Museum,107.0
2018-08-18 01:00:00,M Shed,6560.0
2018-08-18 01:00:00,Bristol Museum,2822.0
2018-08-18 01:00:00,Blaise Castle House Museum,522.0
2018-07-28 01:00:00,Blaise Castle House Museum,1296.0
2018-08-17 01:00:00,M Shed,4223.0
2018-08-17 01:00:00,Bristol Museum,1893.0
2018-08-17 01:00:00,Blaise Castle House Museum,916.0
2018-08-16 01:00:00,Blaise Castle House Museum,429.0
2018-09-15 00:00:00,The Red Lodge Museum,414.0
2018-08-16 01:00:00,M Shed,3392.0
2018-10-12 00:00:00,Bristol Museum,1152.0
2018-07-28 01:00:00,M Shed,6278.0
2018-09-15 00:00:00,The Georgian House Museum,410.0
2018-07-28 01:00:00,Bristol Museum,2511.0
2018-09-15 00:00:00,M Shed,3500.0
2018-07-27 01:00:00,Blaise Castle House Museum,930.0
2018-09-15 00:00:00,Bristol Museum,1456.0
2018-07-27 01:00:00,M Shed,3404.0
2018-09-15 00:00:00,Blaise Castle House Museum,417.0
